rq,setting,task,budget,repeat,tabpfn_auroc,baseline_auroc,delta,n_geographic_units_used,valid_pair
RQ1,Continent-specific,2c,20,2,0.6541183204006509,0.6266458857392145,0.02747243466143634,2,True
RQ1,Continent-specific,2c,20,3,0.6869794715980437,0.6461444873748234,0.040834984223220294,2,True
RQ1,Continent-specific,2c,20,4,0.5986017453849608,0.5862868375786096,0.01231490780635125,2,True
RQ1,Continent-specific,2c,20,5,0.6381981491642263,0.6195772199421581,0.01862092922206826,2,True
RQ1,Continent-specific,2c,20,6,0.6399782552887741,0.5940104225871119,0.04596783270166216,2,True
RQ1,Continent-specific,2c,20,7,0.6921508355225701,0.6932221157245174,-0.0010712802019473555,2,True
RQ1,Continent-specific,2c,20,8,0.638370239008037,0.6093405191330266,0.029029719875010462,2,True
RQ1,Continent-specific,2c,20,9,0.6450613113191028,0.619608004454365,0.02545330686473779,2,True
RQ1,Continent-specific,2c,30,0,0.636321857038946,0.585195350419702,0.051126506619243894,2,True
RQ1,Continent-specific,2c,30,1,0.662148274436432,0.6290303354215945,0.033117939014837505,2,True
RQ1,Continent-specific,2c,30,2,0.6749973043793931,0.6604075471204292,0.014589757258963942,2,True
RQ1,Continent-specific,2c,30,3,0.7353961414856097,0.6656445382652717,0.06975160322033802,2,True
RQ1,Continent-specific,2c,30,4,0.6393412141052293,0.612327536631265,0.027013677473964215,2,True
RQ1,Continent-specific,2c,30,5,0.6668448129483634,0.6310711582949792,0.035773654653384224,2,True
RQ1,Continent-specific,2c,30,6,0.674158631540658,0.6306213947876975,0.043537236752960506,2,True
RQ1,Continent-specific,2c,30,7,0.7239938865829595,0.7076188058360434,0.01637508074691607,2,True
RQ1,Continent-specific,2c,30,8,0.6761211888628953,0.6428862846297168,0.03323490423317854,2,True
RQ1,Continent-specific,2c,30,9,0.6688704143185523,0.6330746304147064,0.03579578390384597,2,True
RQ1,Continent-specific,2c,40,0,0.6596013111498435,0.597581978287014,0.06201933286282957,2,True
RQ1,Continent-specific,2c,40,1,0.6962757601936798,0.6429635182232614,0.053312241970418395,2,True
RQ1,Continent-specific,2c,40,2,0.6957178781562007,0.6656390052102937,0.030078872945906943,2,True
RQ1,Continent-specific,2c,40,3,0.7527831408523142,0.6814534437019673,0.07132969715034698,2,True
RQ1,Continent-specific,2c,40,4,0.6581840006381644,0.6219074303048002,0.03627657033336418,2,True
RQ1,Continent-specific,2c,40,5,0.6947207922733493,0.6491065971504713,0.04561419512287801,2,True
RQ1,Continent-specific,2c,40,6,0.7019953868485196,0.6200396742619809,0.08195571258653866,2,True
RQ1,Continent-specific,2c,40,7,0.7466617528055695,0.7193331073051563,0.02732864550041314,2,True
